"source_type","canonical_id","name","source_document","source_path","checksum_sha256","disposition","registry_state","target_form","home_division","operating_class","functional_domains","capability_codes","skill_ids","required_tools","risk_tier","autonomy_ceiling","integration_ceiling","runtime_compatibility","evidence_status","canonical_registry_path","normalization_note"
"document","SRC-DOC-001","Agentic AI Role Library architecture","00_LIBRARY_ARCHITECTURE.md","/Agent Roles & Skills Catalog/00_LIBRARY_ARCHITECTURE.md","306bd5ca3b20f65a714f15a8b9c2440ee0e08bf04647bd64870310183eaced7a","KEEP","CANONICAL_SOURCE","source_document","","","","","","","","","","","VERIFIED","","Authoritative source copy retained in the catalog folder."
"document","SRC-DOC-002","Creative, Media, and Artist Operations Role Catalog","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","KEEP","CANONICAL_SOURCE","source_document","","","","","","","","","","","VERIFIED","","Authoritative source copy retained in the catalog folder."
"document","SRC-DOC-003","Cross-Industry Agent Role Catalog","02_CROSS_INDUSTRY_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/02_CROSS_INDUSTRY_ROLE_CATALOG.md","898e5e914080696ff1761dcf5cbee80160745321ecf81ee0feb95d969db4fdc8","KEEP","CANONICAL_SOURCE","source_document","","","","","","","","","","","VERIFIED","","Authoritative source copy retained in the catalog folder."
"document","SRC-DOC-004","Skill and Integration Catalog","03_SKILL_AND_INTEGRATION_CATALOG.md","/Agent Roles & Skills Catalog/03_SKILL_AND_INTEGRATION_CATALOG.md","ec9c27def9db646e2e2bad2bd6a0c3c67b93a891cc0648d86af0d0112ae4258b","KEEP","CANONICAL_SOURCE","source_document","","","","","","","","","","","VERIFIED","","Authoritative source copy retained in the catalog folder."
"document","SRC-DUP-001","00_LIBRARY_ARCHITECTURE.md","00_LIBRARY_ARCHITECTURE.md","/00_LIBRARY_ARCHITECTURE.md","306bd5ca3b20f65a714f15a8b9c2440ee0e08bf04647bd64870310183eaced7a","ARCHIVE","DUPLICATE_SOURCE","source_document","","","","","","","","","","","VERIFIED","","Byte-identical duplicate of SRC-DOC-001; archive the source copy and do not import its rows again."
"document","SRC-DUP-002","01_CREATIVE_MEDIA_ROLE_CATALOG.md","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","ARCHIVE","DUPLICATE_SOURCE","source_document","","","","","","","","","","","VERIFIED","","Byte-identical duplicate of SRC-DOC-002; archive the source copy and do not import its rows again."
"document","SRC-DUP-003","02_CROSS_INDUSTRY_ROLE_CATALOG.md","02_CROSS_INDUSTRY_ROLE_CATALOG.md","/02_CROSS_INDUSTRY_ROLE_CATALOG.md","898e5e914080696ff1761dcf5cbee80160745321ecf81ee0feb95d969db4fdc8","ARCHIVE","DUPLICATE_SOURCE","source_document","","","","","","","","","","","VERIFIED","","Byte-identical duplicate of SRC-DOC-003; archive the source copy and do not import its rows again."
"document","SRC-DUP-004","03_SKILL_AND_INTEGRATION_CATALOG.md","03_SKILL_AND_INTEGRATION_CATALOG.md","/03_SKILL_AND_INTEGRATION_CATALOG.md","ec9c27def9db646e2e2bad2bd6a0c3c67b93a891cc0648d86af0d0112ae4258b","ARCHIVE","DUPLICATE_SOURCE","source_document","","","","","","","","","","","VERIFIED","","Byte-identical duplicate of SRC-DOC-004; archive the source copy and do not import its rows again."
"document","SRC-DUP-005","03_SKILL_AND_INTEGRATION_CATALOG(1).md","03_SKILL_AND_INTEGRATION_CATALOG(1).md","/03_SKILL_AND_INTEGRATION_CATALOG(1).md","ec9c27def9db646e2e2bad2bd6a0c3c67b93a891cc0648d86af0d0112ae4258b","ARCHIVE","DUPLICATE_SOURCE","source_document","","","","","","","","","","","VERIFIED","","Byte-identical duplicate of SRC-DOC-004; archive the source copy and do not import its rows again."
"role","CMO-01","Artist Operations Orchestrator","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","role_definition","DIV-01","control","creative-media-and-brand","AGENT_DESIGN|MEDIA_GENERATION","","TOL-001|TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMO-02","Persona Bible Curator","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","role_definition","DIV-06","knowledge","creative-media-and-brand","AGENT_DESIGN|MEDIA_GENERATION","","TOL-001|TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMO-03","Voice Governor","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","role_definition","DIV-06","control","creative-media-and-brand","AGENT_DESIGN|MEDIA_GENERATION","","TOL-001|TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMO-04","Creative Director Agent","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","role_definition","DIV-06","control","creative-media-and-brand","AGENT_DESIGN|MEDIA_GENERATION","","TOL-001|TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
"role","CMO-05","Quality Gatekeeper","01_CREATIVE_MEDIA_ROLE_CATALOG.md","/Agent Roles & Skills Catalog/01_CREATIVE_MEDIA_ROLE_CATALOG.md","93b0438a7b93b454beb91363ca4152beda8fc4a9f7b9dc783957858f48edd4df","SPECIALIZE","SOURCE_ONLY","role_definition","DIV-10","evaluation","creative-media-and-brand","AGENT_DESIGN|MEDIA_GENERATION","","TOL-001|TOL-002|TOL-003","moderate","A2","I1","provider-neutral; deployment-profile-required","DECLARED","","Retain the domain specialization; promote durable accountability as a RoleDefinition and convert narrow execution into a capability recipe."
